,Ontology Term,Preferred Name,odds ratio,exact p-value,adj p-value,Reference Genes,User/Study Genes
93,TO_0001027,net photosynthetic rate,1.8779345876631446,1.635614860898411e-05,5.4984499579138075e-05,1044,60
94,TO_0000605,hydrogen peroxide content,2.1171234876835783,2.372286674259563e-05,7.8909746217476e-05,652,42
95,TO_0000474,glume opening,inf,3.177451451687294e-05,0.00010459111028470676,3,3
96,TO_0000713,brittle endosperm,40.79522647138595,3.2601407571228254e-05,0.00010620664734544462,7,4
97,TO_0000429,salt sensitivity,1.661686599100967,3.477716347485649e-05,0.00011213860875565971,1584,81
98,TO_0000135,leaf length,1.7550260170293284,4.0169874156655313e-05,0.00012821899225760687,1243,67
99,TO_0000624,allelopathic effect,2.9352783161439917,4.904156518269128e-05,0.00015497134597730445,229,20
100,TO_0001007,coleoptile length,2.274363410118668,8.600338153354714e-05,0.0002690798867782267,435,30
101,TO_0000652,leaf necrosis,2.523814138455796,8.690704114179528e-05,0.00026924142157654226,329,25
102,TO_0000609,potassium content,2.2247425863686567,0.0001152724392727949,0.00035365136708935134,444,30
103,TO_0000424,brown planthopper resistance,3.9533533831949423,0.0001283436518670538,0.00038996724990374035,105,12
104,TO_0000515,relative growth rate,1.9540000148052736,0.00021184866757712593,0.0006375636090892551,669,40
105,TO_0006064,rolled leaf,0.509844515352996,0.00028237159817338735,0.0008417870285168905,1514,25
106,TO_0000469,days to maturity,0.7335718044702167,0.00030211327128809454,0.0008922223712807278,5686,135
107,0000281,Common bunt spike incidence,0.5296368586088213,0.00035228949082789806,0.0010307729546445907,1633,28
108,TO_0000615,abscisic acid sensitivity,1.9102466282225268,0.00041279348784901065,0.001196722405140251,649,38
109,TO_0000514,potassium uptake,1.7714533246696988,0.0004917774332220712,0.0014127424445288589,844,46
110,TO_0000354,aluminum sensitivity,2.958442508416719,0.0005782211515319808,0.0016461070620189724,159,14
111,TO_0000069,variegated leaf,3.282141886382169,0.000604259759655295,0.0017048757504560111,124,12
112,TO_0012001,leaf area index,1.96052388254374,0.000688338124374317,0.001924910153117559,533,32
113,TO_0000152,panicle number,3.4031702898550726,0.0007645475496412549,0.002119272155145935,110,11
114,TO_0000640,total root number,2.055543522594619,0.0010387871218153321,0.0028468577255680505,414,26
115,TO_0002672,auxin content,1.618012017664519,0.0010450490384996641,0.0028468577255680505,1120,56
116,TO_0006007,polysaccharide content,3.1782352337981954,0.001273366029426093,0.003439176626484149,117,11
117,TO_0000225,stamen number,1.6066095984025641,0.0016164320532011777,0.004328750244165866,1087,54
118,TO_0000541,leaf position,3.2232945852814594,0.0018890480361275189,0.005016295625347025,105,10
119,TO_0000136,leaf relative water content,1.5826751214447288,0.0019297768065602936,0.005081745590608773,1123,55
120,TO_0000544,mesocotyl length,15.293655097613883,0.0023120762019932686,0.006038149420081594,9,3
121,TO_0000524,submergence tolerance,1.7897422692259166,0.0024387859579104473,0.006316855431964766,617,34
122,TO_0000180,spikelet fertility,1.8082046992279688,0.002544918017245121,0.0065381633613777095,575,32
123,TO_0002689,leaf sheath length,61.160748170235834,0.002946829975485209,0.007509663485913919,3,2
124,TO_0000315,bacterial disease resistance,1.6861214383783534,0.003118750800768168,0.00788420202434193,749,39
125,TO_0000527,sodium uptake,2.019277879237437,0.0033546461958605172,0.008413239665808916,356,22
126,TO_0002681,leaf curling,1.5057922430319175,0.003951527493354263,0.00983214714881848,1220,57
127,TO_0000202,germination ratio,2.309145017798459,0.0046725298984594335,0.011535308186821726,214,15
128,TO_0000269,100-grain weight,4.935020040957065,0.00529546190661494,0.012971829166591635,36,5
129,TO_0000040,panicle length,0.638804411105867,0.0058408511305554035,0.01419776120965775,1749,36
130,TO_0000735,plastochron,1.776560479412261,0.0063293338923234126,0.015170725223147547,493,27
131,TO_0000567,tiller angle,1.4453720237263756,0.006337138384352773,0.015170725223147547,1447,65
